fixture_id,season,date,home_team,away_team,referee,category,home_value,away_value
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",shots,,
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",shots_on_target,,
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",fouls,,
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",corners,,
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",offside,,
1554368,2026,2026-07-07,Lincoln Red Imps FC,Inter Club d'Escaldes,"Joao Antonio Ferreira Goncalves, Portugal",yellow_cards,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",shots,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",shots_on_target,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",fouls,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",corners,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",offside,,
1554361,2026,2026-07-07,Ararat-Armenia,Riga,"Klim Zabroda, Ukraine",yellow_cards,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",shots,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",shots_on_target,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",fouls,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",corners,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",offside,,
1554366,2026,2026-07-07,Kauno Žalgiris,Drita,"Ivar Orri Kristjansson, Iceland",yellow_cards,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",shots,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",shots_on_target,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",fouls,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",corners,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",offside,,
1554371,2026,2026-07-07,Sabah FA,The New Saints,"Patryk Gryckiewicz, Poland",yellow_cards,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",shots,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",shots_on_target,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",fouls,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",corners,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",offside,,
1554373,2026,2026-07-07,Vardar Skopje,KuPS,"Kadir Saglam, Türkiye",yellow_cards,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",shots,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",shots_on_target,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",fouls,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",corners,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",offside,,
1554364,2026,2026-07-07,Floriana,Shamrock Rovers,"Benjamin Brand, Germany",yellow_cards,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",shots,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",shots_on_target,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",fouls,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",corners,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",offside,,
1554372,2026,2026-07-07,Tre Fiori,Larne,"Artem Gasparyan, Armenia",yellow_cards,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",shots,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",shots_on_target,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",fouls,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",corners,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",offside,,
1554362,2026,2026-07-07,Borac Banja Luka,Levski Sofia,"Mehmet Turkmen, Türkiye",yellow_cards,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",shots,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",shots_on_target,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",fouls,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",corners,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",offside,,
1554367,2026,2026-07-07,KI Klaksvik,Atert Bissen,"Dominik Stary, Czechia",yellow_cards,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",shots,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",shots_on_target,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",fouls,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",corners,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",offside,,
1554374,2026,2026-07-07,Vikingur Reykjavik,Gyori ETO FC,"Romain Lissorgue, France",yellow_cards,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",shots,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",shots_on_target,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",fouls,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",corners,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",offside,,
1554365,2026,2026-07-08,Kairat Almaty,Sutjeska,"Dmitriy Panchishin, Ukraine",yellow_cards,,
1554363,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,"Sandi Putros, Denmark",shots,,
1554363,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,"Sandi Putros, Denmark",shots_on_target,,
1554363,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,"Sandi Putros, Denmark",fouls,,
1554363,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,"Sandi Putros, Denmark",corners,,
1554363,2026,2026-07-08,Flora Tallinn,FC Iberia 1999,"Sandi Putros, Denmark",offside,,
